product_id,product_name,supplier_id,supplier_name,region,purchase_date,units_purchased,unit_cost,total_cost,delivery_time_days,qc_pass_rate,customer_rating_avg,damaged_on_arrival,complaint_count,units_returned,return_rate,supplier_score,supplier_rank
P19,Lays potato chips,S6,"Murphy, Aguilar and Zimmerman",Delhi NCR,2024-08-21,778,18.5,14393.0,1,0.95,3.14,0.02,1,54,0.069,89.0981174361273,3.0
P19,Lays potato chips,S3,"Bell, Gardner and Brown",Delhi NCR,2025-01-08,337,42.05,14170.85,8,1.0,4.21,0.01,10,16,0.047,89.0402151501569,4.0
P19,Lays potato chips,S8,Thompson Group,Bengaluru,2024-10-21,636,47.93,30483.48,2,0.98,4.63,0.02,6,39,0.061,87.9624204392649,5.0
P19,Lays potato chips,S4,Thornton Ltd,Delhi NCR,2024-12-23,910,28.58,26007.8,1,0.85,3.27,0.05,7,73,0.08,84.0990407888839,6.0
P19,Lays potato chips,S5,Bass Group,Hyderabad,2024-07-08,881,56.83,50067.23,3,0.97,4.04,0.04,7,66,0.075,83.3277991931869,7.0
P19,Lays potato chips,S2,Nelson-Ramirez,Mumbai,2025-03-14,430,41.58,17879.4,4,0.87,3.29,0.04,1,17,0.04,83.0455490811295,8.0
P19,Lays potato chips,S1,Martin-Mcdowell,Bengaluru,2024-07-25,986,55.31,54535.66,3,0.95,3.08,0.04,7,68,0.069,80.4684536082474,9.0
P19,Lays potato chips,S1,Martin-Mcdowell,Mumbai,2025-04-28,797,48.27,38471.19,10,0.85,3.54,0.03,10,79,0.099,80.1262214253698,10.0
P2,Manforce Condom,S7,Flores-Cook,Delhi NCR,2024-12-24,256,16.71,4277.76,3,1.0,4.54,0.01,10,13,0.051,95.5892828328104,1.0
P2,Manforce Condom,S5,Bass Group,Chennai,2024-08-23,698,13.67,9541.66,8,0.94,4.36,0.0,8,67,0.096,92.9805916629314,2.0
P2,Manforce Condom,S7,Flores-Cook,Kolkata,2025-05-21,749,39.29,29428.21,7,0.96,4.3,0.04,4,5,0.007,89.8287718511878,3.0
P2,Manforce Condom,S4,Thornton Ltd,Chennai,2025-05-30,182,56.09,10208.38,3,0.88,4.29,0.01,1,2,0.011,84.2136441057822,4.0
P2,Manforce Condom,S10,"Terry, Smith and Weber",Kolkata,2025-03-15,349,65.81,22967.69,3,0.93,4.79,0.04,9,13,0.037,83.7052487673689,5.0
P2,Manforce Condom,S1,Martin-Mcdowell,Bengaluru,2025-01-28,967,51.58,49877.86,7,0.99,3.31,0.03,6,87,0.09,82.4644016136262,6.0
P2,Manforce Condom,S2,Nelson-Ramirez,Delhi NCR,2025-04-16,473,61.92,29288.16,1,0.92,3.39,0.04,5,13,0.027,80.4270551322277,7.0
P2,Manforce Condom,S3,"Bell, Gardner and Brown",Kolkata,2025-02-03,488,70.49,34399.12,1,0.96,3.48,0.04,6,16,0.033,79.5963917525773,8.0
P2,Manforce Condom,S3,"Bell, Gardner and Brown",Bengaluru,2024-07-23,614,65.64,40302.96,10,0.91,3.93,0.04,5,55,0.09,79.0733482743165,9.0
P2,Manforce Condom,S9,Bond-Adkins,Delhi NCR,2024-11-14,824,56.7,46720.8,8,0.86,3.33,0.04,7,67,0.081,78.2969341102645,10.0
P20,Kissan Tomato Ketchup,S7,Flores-Cook,Kolkata,2024-11-03,566,12.28,6950.48,7,0.99,4.67,0.03,10,36,0.064,96.1321111609144,1.0
P20,Kissan Tomato Ketchup,S7,Flores-Cook,Ahmedabad,2024-08-15,896,19.28,17274.88,3,0.99,4.01,0.04,4,13,0.015,93.9533079336621,2.0
P20,Kissan Tomato Ketchup,S5,Bass Group,Bengaluru,2024-09-06,383,13.02,4986.66,3,0.94,4.52,0.04,2,34,0.089,93.4162662483191,3.0
P20,Kissan Tomato Ketchup,S5,Bass Group,Delhi NCR,2025-03-27,844,26.34,22230.96,9,0.99,4.17,0.02,4,58,0.069,91.4310578216047,4.0
P20,Kissan Tomato Ketchup,S3,"Bell, Gardner and Brown",Delhi NCR,2025-04-19,472,17.45,8236.4,6,0.94,3.49,0.02,4,24,0.051,90.6734379202151,5.0
P20,Kissan Tomato Ketchup,S4,Thornton Ltd,Ahmedabad,2024-08-07,864,25.2,21772.8,3,0.89,3.35,0.0,1,35,0.041,87.7665486329,6.0
P20,Kissan Tomato Ketchup,S3,"Bell, Gardner and Brown",Chennai,2024-08-09,344,43.48,14957.12,3,0.97,3.68,0.05,7,7,0.02,86.7897310623039,7.0
P20,Kissan Tomato Ketchup,S5,Bass Group,Hyderabad,2025-02-28,107,74.44,7965.08,4,0.95,3.05,0.01,4,3,0.028,77.6211385029135,8.0
P20,Kissan Tomato Ketchup,S5,Bass Group,Hyderabad,2025-01-23,790,79.8,63042.0,2,0.92,4.05,0.02,4,56,0.071,77.2798834603317,9.0
P20,Kissan Tomato Ketchup,S3,"Bell, Gardner and Brown",Delhi NCR,2024-11-16,711,92.56,65810.16,7,0.87,4.9,0.02,2,20,0.028,77.0101792917974,10.0
P3,Maggie,S8,Thompson Group,Chennai,2025-06-17,490,10.5,5145.0,10,0.97,4.41,0.04,7,33,0.067,95.06103541013,1.0
P3,Maggie,S8,Thompson Group,Hyderabad,2024-10-12,200,20.78,4156.0,2,0.98,4.19,0.03,7,5,0.025,93.7071358135365,2.0
P3,Maggie,S9,Bond-Adkins,Chennai,2024-10-01,961,21.52,20680.72,2,0.87,3.28,0.03,7,15,0.016,88.3312909009413,3.0
P3,Maggie,S7,Flores-Cook,Mumbai,2025-05-11,729,34.66,25267.14,10,0.93,4.3,0.04,8,49,0.067,88.3164231286419,4.0
P3,Maggie,S4,Thornton Ltd,Mumbai,2025-05-09,763,36.39,27765.57,6,0.9,4.35,0.04,0,53,0.069,87.2687046167638,5.0
P3,Maggie,S8,Thompson Group,Delhi NCR,2025-06-04,773,40.7,31461.1,10,0.87,4.85,0.04,9,66,0.085,86.5727700582698,6.0
P3,Maggie,S5,Bass Group,Ahmedabad,2024-12-13,872,77.56,67632.32,1,0.97,4.98,0.02,3,25,0.029,83.0819004930524,7.0
P3,Maggie,S10,"Terry, Smith and Weber",Hyderabad,2024-12-13,972,57.94,56317.68,9,0.89,3.54,0.02,6,40,0.041,80.799031824294,8.0
P3,Maggie,S9,Bond-Adkins,Ahmedabad,2024-12-21,338,64.1,21665.8,9,0.96,3.04,0.05,9,1,0.003,80.508484984312,9.0
P3,Maggie,S3,"Bell, Gardner and Brown",Hyderabad,2025-06-08,858,55.2,47361.6,1,0.94,3.13,0.04,1,67,0.078,80.12310623039,10.0
P4,Dabur Red,S9,Bond-Adkins,Delhi NCR,2024-11-17,490,20.08,9839.2,10,0.91,4.94,0.04,5,36,0.073,92.8240161362618,1.0
P4,Dabur Red,S4,Thornton Ltd,Kolkata,2024-08-11,259,10.46,2709.14,5,0.87,4.1,0.03,4,19,0.073,91.56,2.0
P4,Dabur Red,S10,"Terry, Smith and Weber",Mumbai,2025-02-13,831,25.78,21423.18,2,0.99,3.84,0.02,8,82,0.099,89.6665620797849,3.0
P4,Dabur Red,S5,Bass Group,Ahmedabad,2024-07-01,859,43.71,37546.89,5,0.99,4.46,0.03,3,28,0.033,89.3881846705513,4.0
P4,Dabur Red,S4,Thornton Ltd,Delhi NCR,2024-07-24,889,34.49,30661.61,9,0.94,3.72,0.0,8,4,0.004,89.1545226355894,5.0
P4,Dabur Red,S7,Flores-Cook,Hyderabad,2025-01-05,973,48.17,46869.41,9,0.96,4.87,0.05,3,55,0.057,87.9486329000448,6.0
P4,Dabur Red,S4,Thornton Ltd,Ahmedabad,2024-12-19,189,24.04,4543.56,10,0.87,3.12,0.04,6,1,0.005,87.5165217391304,7.0
P4,Dabur Red,S8,Thompson Group,Delhi NCR,2024-10-30,384,37.42,14369.28,8,0.86,4.37,0.02,10,23,0.06,86.5678664276109,8.0
P4,Dabur Red,S10,"Terry, Smith and Weber",Chennai,2025-05-15,898,35.27,31672.46,9,0.85,4.29,0.01,6,79,0.088,85.8197131331242,9.0
P4,Dabur Red,S8,Thompson Group,Delhi NCR,2024-07-22,324,59.43,19255.32,3,0.96,4.32,0.01,8,29,0.09,83.185100851636,10.0
P5,Bournvita,S8,Thompson Group,Ahmedabad,2025-06-07,638,30.63,19541.94,2,0.96,4.44,0.03,1,60,0.094,89.6796055580457,1.0
P5,Bournvita,S3,"Bell, Gardner and Brown",Kolkata,2025-01-19,930,34.96,32512.8,10,0.88,3.93,0.02,4,10,0.011,87.7691887046168,2.0
P5,Bournvita,S2,Nelson-Ramirez,Bengaluru,2024-11-05,548,51.32,28123.36,8,1.0,3.99,0.02,1,1,0.002,87.5526714477813,3.0
P5,Bournvita,S3,"Bell, Gardner and Brown",Chennai,2024-09-23,336,45.87,15412.32,7,0.94,4.27,0.0,2,13,0.039,87.2040968175706,4.0
P5,Bournvita,S7,Flores-Cook,Mumbai,2024-12-16,402,35.98,14463.96,6,0.94,3.31,0.02,6,11,0.027,86.7005916629314,5.0
P5,Bournvita,S1,Martin-Mcdowell,Ahmedabad,2025-02-13,205,66.65,13663.25,1,0.95,3.91,0.03,9,9,0.044,81.2669923800986,6.0
P5,Bournvita,S2,Nelson-Ramirez,Hyderabad,2025-02-24,568,57.67,32756.56,6,0.89,3.19,0.04,1,0,0.0,80.8395428059166,7.0
P5,Bournvita,S7,Flores-Cook,Bengaluru,2025-04-16,580,56.05,32509.0,5,0.93,3.21,0.02,5,39,0.067,80.4526086956522,8.0
P5,Bournvita,S4,Thornton Ltd,Chennai,2024-07-31,997,57.93,57756.21,6,0.86,3.67,0.01,8,64,0.064,79.8512729717616,9.0
P5,Bournvita,S6,"Murphy, Aguilar and Zimmerman",Hyderabad,2025-01-04,825,63.56,52437.0,2,0.86,3.99,0.03,4,71,0.086,78.6895069475571,10.0
P6,Sensodyne,S2,Nelson-Ramirez,Bengaluru,2024-09-04,944,15.7,14820.8,8,1.0,3.64,0.04,4,43,0.046,92.9656387270282,1.0
P6,Sensodyne,S8,Thompson Group,Hyderabad,2025-01-05,597,23.04,13754.88,8,0.92,4.97,0.01,3,55,0.092,92.2306364858808,2.0
P6,Sensodyne,S7,Flores-Cook,Mumbai,2025-04-22,724,35.54,25730.96,7,0.9,4.29,0.03,9,30,0.041,88.2192021515016,3.0
P6,Sensodyne,S1,Martin-Mcdowell,Bengaluru,2024-09-09,230,27.62,6352.6,10,0.86,3.2,0.0,8,0,0.0,87.2541909457642,4.0
P6,Sensodyne,S9,Bond-Adkins,Kolkata,2024-12-23,321,30.12,9668.52,8,0.99,3.02,0.05,4,18,0.056,87.2239040788884,5.0
P6,Sensodyne,S7,Flores-Cook,Delhi NCR,2025-05-16,552,26.79,14788.08,6,0.89,3.35,0.04,9,19,0.034,87.220206185567,6.0
P6,Sensodyne,S4,Thornton Ltd,Chennai,2025-06-14,846,33.29,28163.34,4,0.95,3.62,0.03,2,59,0.07,87.0934603316898,7.0
P6,Sensodyne,S7,Flores-Cook,Bengaluru,2025-06-14,776,40.79,31653.04,1,0.97,3.22,0.04,2,1,0.001,86.6825997310623,8.0
P6,Sensodyne,S3,"Bell, Gardner and Brown",Mumbai,2025-01-01,489,81.99,40093.11,9,0.88,4.31,0.01,3,32,0.065,76.8490721649484,9.0
P6,Sensodyne,S1,Martin-Mcdowell,Bengaluru,2024-06-28,953,67.78,64594.34,9,0.86,3.32,0.04,4,78,0.082,75.7537427162707,10.0
P7,Parle-G,S7,Flores-Cook,Bengaluru,2025-03-29,146,15.85,2314.1,4,0.99,4.93,0.04,4,1,0.007,97.7220215150157,1.0
P7,Parle-G,S4,Thornton Ltd,Ahmedabad,2024-08-26,584,14.65,8555.6,3,0.93,4.08,0.03,10,5,0.009,93.9809592111161,2.0
P7,Parle-G,S2,Nelson-Ramirez,Kolkata,2025-04-15,332,13.88,4608.16,6,0.98,4.06,0.05,2,19,0.057,93.7035275661138,3.0
P7,Parle-G,S2,Nelson-Ramirez,Delhi NCR,2024-08-03,322,18.13,5837.86,1,0.98,3.64,0.01,9,3,0.009,93.3310398924249,4.0
P7,Parle-G,S7,Flores-Cook,Mumbai,2024-07-01,199,20.79,4137.21,7,0.9,4.89,0.02,5,13,0.065,92.704894666069,5.0
P7,Parle-G,S9,Bond-Adkins,Ahmedabad,2025-05-04,685,15.5,10617.5,7,0.89,4.61,0.04,3,52,0.076,92.2704616763783,6.0
P7,Parle-G,S1,Martin-Mcdowell,Ahmedabad,2025-06-03,555,30.9,17149.5,4,0.98,3.77,0.03,5,6,0.011,90.5990945764231,7.0
